BP-RP,G,ra,dec
3.11804,18.0234,130.83374,20.073808
2.58354,15.8539,130.71768,19.862703
2.66774,16.1731,131.13689,18.963991
3.04234,18.108,129.60556,20.355768
0.982642,11.8021,130.04017,19.621361
2.59314,15.9426,129.76626,20.567254
1.43984,13.2064,130.29065,19.935292
1.69974,13.9274,130.2303,18.58301
3.06644,17.6875,130.62792,19.115982
1.88124,14.4189,130.27199,20.47342
3.07884,18.0647,130.14546,20.601007
2.74534,18.2024,129.91681,18.846964
3.19854,18.2262,130.03379,20.218451
2.79954,17.011,130.24336,18.846135
1.01294,11.9195,130.66738,19.133037
3.01114,18.4405,130.23947,20.478116
2.83744,17.5983,129.01368,19.424601
2.25304,15.3561,130.90354,20.537164
2.99194,17.543,130.59911,19.386736
2.88764,17.2673,130.81594,19.109139
1.09644,12.1297,129.09437,19.191431
3.03504,17.4126,129.84214,20.799486
2.00794,14.7993,129.04745,19.877799
2.96344,18.1504,130.67058,19.532864
2.69734,16.5342,129.88214,19.404827
3.12894,18.2214,129.59098,20.093216
2.04914,14.8284,129.06454,20.685986
2.47764,15.6514,129.39031,19.310938
1.62814,13.7099,130.96573,19.913548
2.10474,14.977,130.11747,18.935758
2.46974,15.8639,130.80365,18.53072
2.69814,16.1912,130.40241,18.904239
2.88654,17.9799,130.47213,19.265413
2.87674,17.2991,130.07095,18.60823
2.45554,15.8052,130.31411,19.086156
2.92054,17.2876,129.21038,18.68164
1.34004,12.8439,128.99929,19.525473
2.80234,17.3425,130.232,18.826117
2.99824,17.7779,130.22175,18.748257
1.45104,13.2599,130.55126,19.213464
2.92324,17.4158,130.66417,19.41436
3.09524,18.2774,129.91502,19.115566
1.40254,13.0963,130.58353,19.151526
3.01504,18.1565,130.3319,19.09836
2.08694,14.7492,129.36842,20.607865
2.44734,15.7368,129.09073,20.205413
2.98844,18.0863,129.52789,20.16231
2.29824,15.2712,129.38497,19.521608
1.09224,12.0923,130.88477,19.743763
1.84444,14.254,129.24939,20.406456
2.97064,17.8326,129.06715,19.377899
2.00264,14.7431,130.4327,19.30222
1.60704,13.4113,129.73827,20.181482
3.03194,18.05,130.8,18.695806
2.91774,17.6654,131.28545,19.152229
3.11954,18.1707,130.75763,19.90121
2.56064,15.9771,130.39855,18.742998
2.48824,15.7692,131.46406,19.424192
1.85124,14.2541,129.03584,18.747432
3.12034,18.2059,130.62351,19.331195
1.06314,12.0784,131.07095,18.736557
2.41254,15.8857,129.29939,20.679785
2.85364,17.4897,129.87755,17.980848
2.67454,18.6586,131.50799,20.534139
1.03804,11.9281,130.54774,19.276957
2.88804,17.1026,130.33459,18.961848
2.65444,16.2429,129.96917,20.512828
1.15834,12.3995,130.97764,18.893529
3.00664,17.4776,129.21495,18.838636
2.56714,16.1792,128.39127,20.073716
1.79154,14.1449,129.30238,20.544779
1.22644,12.6619,130.34391,18.933821
3.21694,18.2974,128.98524,20.618548
1.79084,14.0891,129.01829,19.920225
2.61044,15.8664,128.27308,18.93014
3.00344,17.818,129.01334,20.837644
1.84764,14.2572,129.59926,20.727952
3.10234,18.2178,130.29221,19.203617
1.50014,13.371,129.35979,19.486842
3.34174,18.8549,131.15148,19.288222
2.18004,15.1561,132.20457,20.224206
2.72514,16.5696,132.09808,19.836553
2.79344,17.4008,129.09321,20.118545
2.26994,15.4695,128.30984,19.07674
2.87864,17.092,130.32271,20.542446
1.77114,14.1032,129.06641,20.55305
2.49584,16.1254,129.63452,18.781296
1.66584,13.6607,131.35812,20.427335
2.97814,17.4112,130.80257,19.57466
0.697942,10.407,131.36626,21.65353
1.26824,12.736,128.21749,19.976601
2.93844,17.8589,129.8778,18.948101
2.78464,16.6757,130.57294,17.987457
2.54264,15.7483,129.52967,17.782392
3.28674,18.4692,128.34772,20.300875
1.08174,12.0923,129.44322,19.599244
1.99164,14.7107,127.74539,18.694706
1.46194,13.3435,129.21498,19.076345
1.32924,12.8647,128.13908,20.080046
3.07254,17.9323,129.45749,20.794596
1.33504,13.0575,130.93134,19.075816
1.79004,14.0477,128.44554,21.440945
3.07924,18.2081,129.90048,18.680231
1.80314,14.1304,127.71243,19.352409
2.21554,15.1677,130.29594,20.377295
1.60304,13.5903,129.26545,18.667303
3.04014,17.6839,131.40348,18.723577
2.80884,16.9157,130.2629,18.93189
2.73874,16.7223,128.19482,19.997672
1.58564,13.6367,130.39981,19.107022
2.87934,17.3209,131.31205,18.761045
3.11494,17.6998,131.05116,20.716862
3.02054,17.9173,129.53355,18.74159
2.75764,16.4083,130.1509,17.950078
2.76994,16.5641,130.35881,17.803475
3.12844,18.3786,131.00261,20.645917
1.49534,13.3603,128.32326,19.430636
2.19394,15.1863,132.2081,20.443276
1.13464,12.3566,129.11777,20.228536
1.51094,13.4446,131.32974,19.002966
2.80254,17.2985,127.71404,18.897602
1.68454,13.902,129.2408,21.565438
1.96144,14.5106,129.45448,17.254959
1.93984,14.5263,130.41021,17.639974
2.98944,17.6146,129.04998,17.879602
2.88504,17.5754,129.69021,20.662159
2.45664,15.7655,130.99679,19.316076
2.91904,17.3845,132.03089,19.916391
2.99254,17.8043,130.5427,18.766699
2.56034,16.1557,132.02049,19.470471
1.58034,13.5698,128.28093,20.130011
3.12914,18.8879,130.98593,19.271619
0.756842,10.666,129.11574,17.914816
1.58854,13.654,130.16451,18.818226
3.05964,17.7124,131.11323,18.872375
2.81004,17.444,130.55283,18.683557
2.97354,18.489,128.39355,19.951554
2.89424,17.649,127.97596,18.760018
2.17704,15.1039,129.52946,17.310531
0.923342,11.5984,130.7947,19.526234
3.15814,18.527,130.77306,18.918271
2.70934,16.6935,131.3839,18.964439
3.01144,17.9228,129.66629,17.905818
2.40944,15.5368,129.00182,17.975893
2.90454,17.4468,130.736,20.511636
2.89864,17.9491,129.6368,17.393875
2.89094,16.8762,132.49724,19.166888
3.11434,18.1357,129.66293,17.49678
2.05334,14.9263,129.06609,20.120189
3.01854,17.9982,130.28845,17.571323
2.18794,15.1295,130.6334,18.591062
1.22924,12.5855,131.35692,18.713301
2.60824,16.3582,130.82666,19.51879
3.23994,18.3932,130.24529,19.237915
2.69674,16.2148,131.13565,21.683016
2.23634,15.1245,130.70683,18.859687
1.61324,13.6512,129.72291,19.571322
2.17284,15.1018,126.96217,19.805714
2.96514,18.0508,128.36738,18.726711
3.16454,18.34,129.00988,19.073969
3.05824,18.0125,130.31198,17.46011
2.93974,17.3339,130.89406,18.753775
3.02864,18.3669,131.26584,21.471644
1.09744,12.1804,130.28002,19.446863
3.38234,19.0713,129.83055,18.639546
2.95304,18.0071,128.24811,20.120743
3.06184,18.1802,130.59163,18.768223
2.47994,16.4963,128.24181,22.205578
3.35294,18.8421,129.24592,17.701725
1.17124,12.4594,128.31409,20.702435
2.70074,16.4913,128.13501,20.844675
1.19234,12.577,129.99976,19.57786
2.96314,18.2781,132.89115,17.706698
2.35574,15.6021,130.8495,18.679129
0.770142,10.6469,127.73092,19.555445
2.96144,17.7132,132.74936,19.009854
2.95884,17.5615,130.25721,17.81427
2.50154,16.146,130.57998,19.037386
2.90754,17.4119,131.96036,19.153023
3.14444,18.4396,129.73385,21.940802
2.91164,18.7249,130.55453,19.314599
3.19514,18.7137,130.99127,19.516388
2.92104,17.5312,131.33801,18.884229
2.70234,16.82,129.97134,19.400982
3.08554,18.0398,131.30132,19.306817
1.53644,13.5243,133.75918,20.398298
2.43724,15.8612,132.09374,18.612388
2.93774,17.4716,132.0052,19.827491
